hole_ID,depth,azimuth,dip
BM-14,59.13,56,0
BM-15,53.04,55,0
BM-16,40.84,54,0
BM-17,24.38,54,0
BM-18,9.75,144,0
BM-19,10.97,173,0
BM-2,15.24,82,0
BM-20,10.67,97,0
BM-21,28.96,85,0
BM-22,13.72,329,0
BM-23,6.1,345,0
BM-24,9.14,10,0
BM-3,4.57,340,0
BM-4,12.8,60,0
BM-5,16.76,74,0
BM-6,3.05,355,0
BM-7,12.8,60,0
BM-8,17.37,55,0
BM-9,15.85,59,0
BM-A,25.91,324,0
BM-B,80.77,324,0
BM-C,12.19,60,0
BM-D,56.39,60,0
BM-E,50.29,59,0
CA-1,0,353,-65
CA-1,792.63,353,-65
CA-1R,0,145,-55
CA-1R,112.78,145,-55
CA-2,0,110,-65
CA-2,533.4,110,-65
CA-2R,0,215,-50
CA-2R,54.86,215,-50
CA-3,0,110,-55
CA-3,483.41,110,-55
CA-3R,0,175,-45
CA-3R,70.1,175,-45
CA-4R,0,180,-55
CA-4R,91.44,180,-55
CA-5R,0,149,-70
CA-5R,243.84,149,-70
CA-6R,0,140,-70
CA-6R,182.88,140,-70
CA-7R,0,343,-50
CA-7R,76.2,343,-50
CA-8R,0,55,-60
CA-8R,76.2,55,-60
CA-9R,0,360,-90
CA-9R,182.88,360,-90
CA28_PLUS_3A,0,215,-54
CA28_PLUS_3A,30.48,209,-54
CA28_PLUS_3A,60.96,209,-54
CA28_PLUS_3A,91.44,212,-54.2
CA28_PLUS_3A,121.92,212,-55
CA28_PLUS_3A,152.4,214,-55
CA28_PLUS_3A,182.88,217,-54
CA28_PLUS_3A,213.36,214,-53.5
CA28_PLUS_3A,243.84,212,-53
CA28_PLUS_3A,274.32,213,-52.5
CA28_PLUS_3A,304.8,214,-52
CA28_PLUS_3A,335.28,215,-52
CA28_PLUS_3A,365.76,214,-51.5
CA28_PLUS_3A,396.24,213,-51.5
CA28_PLUS_3A,426.72,214,-51.2
CA28_PLUS_3A,457.2,214,-51.5
CA28_PLUS_3A,487.68,216,-51.5
CA28_PLUS_3A,518.16,216,-51.1
CA28_PLUS_3A,548.64,218,-51
CA28_PLUS_3A,562.36,217,-50
CA28_PLUS_4,0,227,-57
CA28_PLUS_4,28.96,230.5,-56.5
CA28_PLUS_4,59.44,231,-56.8
CA28_PLUS_4,89.92,230,-57.5
CA28_PLUS_4,120.4,230,-58
CA28_PLUS_4,150.88,231,-58
CA28_PLUS_4,181.36,231,-58
CA28_PLUS_4,211.84,232,-57
CA28_PLUS_4,242.32,233,-57
CA28_PLUS_4,272.8,233,-57.5
CA28_PLUS_4,303.28,234,-57
CA28_PLUS_4,333.76,233,-58
CA28_PLUS_4,364.24,233,-58
CA28_PLUS_4,394.41,234,-58
CA28_PLUS_4,424.89,232,-58
CA28_PLUS_4,455.37,232.5,-58
CA28_PLUS_4,485.85,232,-58
CA28_PLUS_4,516.33,235,-57.5
CA28_PLUS_4,546.81,234,-58
CA28_PLUS_4,577.29,232,-58
CA28_PLUS_5,0,230,-56
CA28_PLUS_5,30.48,228,-56
CA28_PLUS_5,60.96,229,-57
CA28_PLUS_5,91.44,228,-56
CA28_PLUS_5,121.92,228,-56
CA28_PLUS_5,152.4,230,-56
CA28_PLUS_5,182.88,230,-56
CA28_PLUS_5,213.36,230,-55
CA28_PLUS_5,243.84,229,-55
CA28_PLUS_5,274.32,228,-54
CA28_PLUS_5,304.8,229,-54
CA28_PLUS_5,335.28,230,-53
CA28_PLUS_5,365.76,231,-52
CA28_PLUS_5,396.24,229,-52
CA28_PLUS_5,426.72,235,-52
CA28_PLUS_5,457.2,229,-52
CA28_PLUS_5,487.68,230,-52
CA28_PLUS_5,518.16,232,-51
CA28_PLUS_5,548.64,224,-50.3
CA28_PLUS_5,560.83,228,-50.3
CA28_PLUS_8,0,254.5,-58.3
CA28_PLUS_8,30.48,259,-57
CA28_PLUS_8,60.96,260,-57
CA28_PLUS_8,91.44,257,-57
CA28_PLUS_8,121.92,259,-58
CA28_PLUS_8,152.4,259,-58
CA28_PLUS_8,182.88,260,-58.5
CA28_PLUS_8,213.36,259,-58.5
CA28_PLUS_8,243.84,256,-59
CA28_PLUS_8,274.32,258,-59
CA28_PLUS_8,304.8,259,-59
CA28_PLUS_8,335.28,256,-59.5
CA28_PLUS_8,365.76,255,-59
CA28_PLUS_8,396.24,259,-60
CA28_PLUS_8,426.72,255,-59
CA28_PLUS_8,464.52,255,-59
CA28_PLUS_8,495,256,-59
CA28_PLUS_8,525.48,256,-59
CA30_PLUS_3,0,220.75,-51
CA30_PLUS_3,24.38,227,-50
CA30_PLUS_3,54.86,227,-50
CA30_PLUS_3,85.34,229,-49
CA30_PLUS_3,115.82,230,-49
CA30_PLUS_3,146.3,232,-49
CA30_PLUS_3,176.78,233,-49
CA30_PLUS_3,207.26,231,-48.5
CA30_PLUS_3,237.74,233,-50
CA30_PLUS_3,268.22,234,-48
CA30_PLUS_3,298.7,235,-48
CA30_PLUS_3,329.18,236,-47
CA30_PLUS_3,359.66,237,-46
CA30_PLUS_3,390.14,238,-46
CA30_PLUS_3,420.62,241,-46
CA30_PLUS_3,451.1,240,-45.5
CA30_PLUS_4,0,227,-52.3
CA30_PLUS_4,19.81,227,-52
CA30_PLUS_4,50.29,228,-52.5
CA30_PLUS_4,80.77,227,-52.5
CA30_PLUS_4,111.25,228,-53
CA30_PLUS_4,141.73,229,-53.5
CA30_PLUS_4,172.21,229,-54
CA30_PLUS_4,202.69,227,-54
CA30_PLUS_4,233.17,227,-54
CA30_PLUS_4,263.65,229,-54.5
CA30_PLUS_4,294.13,227,-54.5
CA30_PLUS_4,324.61,227,-54.5
CA30_PLUS_4,355.09,226,-55
CA30_PLUS_4,385.57,227,-55
CA30_PLUS_4,416.05,227,-55
CA30_PLUS_4,446.53,226,-55
CA30_PLUS_4,477.01,225,-55
CA30_PLUS_4,507.49,225,-55
CA30_PLUS_5,0,233,-50.1
CA30_PLUS_5,30.48,232,-52
CA30_PLUS_5,60.96,231,-53
CA30_PLUS_5,91.44,233,-53
CA30_PLUS_5,121.92,231,-53
CA30_PLUS_5,152.4,233,-53
CA30_PLUS_5,182.88,233,-53
CA30_PLUS_5,213.36,234,-52.5
CA30_PLUS_5,243.84,235,-53
CA30_PLUS_5,274.32,232,-52
CA30_PLUS_5,304.8,235,-52
CA30_PLUS_5,335.28,235,-52
CA30_PLUS_5,365.76,235,-51.5
CA30_PLUS_5,396.24,235,-52
CA30_PLUS_5,426.72,236,-52
CA30_PLUS_5,457.2,236,-52
CA30_PLUS_5,487.68,237,-52
CA30_PLUS_5,518.16,233,-52
CA30_PLUS_6,0,240.5,-54.5
CA30_PLUS_6,30.48,244,-54.5
CA30_PLUS_6,60.96,244,-55
CA30_PLUS_6,91.44,243,-55.5
CA30_PLUS_6,121.92,243,-56
CA30_PLUS_6,152.4,245,-55.5
CA30_PLUS_6,182.88,247,-56
CA30_PLUS_6,213.36,247,-56
CA30_PLUS_6,243.84,247,-56
CA30_PLUS_6,274.32,249,-56
CA30_PLUS_6,304.8,249,-56
CA30_PLUS_6,335.28,249,-56
CA30_PLUS_6,365.76,248,-56.5
CA30_PLUS_6,396.24,248,-57
CA30_PLUS_6,426.72,247,-57.5
CA30_PLUS_6,457.2,248,-58
CA30_PLUS_6,487.68,246,-57.5
CA30_PLUS_6,518.16,245,-58
CA32_PLUS_3,0,213,-45
CA32_PLUS_3,30.48,215,-45
CA32_PLUS_3,60.96,217,-45
CA32_PLUS_3,91.44,217,-44.5
CA32_PLUS_3,121.92,220,-44.5
CA32_PLUS_3,152.4,219,-44.1
CA32_PLUS_3,182.88,221,-44
CA32_PLUS_3,213.36,224,-43
CA32_PLUS_3,243.84,224,-42
CA32_PLUS_3,274.32,227,-41
CA32_PLUS_3,304.8,227,-40.5
CA32_PLUS_3,335.28,228,-40.3
CA32_PLUS_3,365.76,222,-40.5
CA32_PLUS_3,384.05,221,-41
CA32_PLUS_4,0,227,-46.5
CA32_PLUS_4,30.48,228,-46
CA32_PLUS_4,60.96,228,-46
CA32_PLUS_4,91.44,230,-46
CA32_PLUS_4,121.92,230,-46
CA32_PLUS_4,152.4,229,-47
CA32_PLUS_4,182.88,227,-48
CA32_PLUS_4,213.36,228,-48
CA32_PLUS_4,243.84,228,-48
CA32_PLUS_4,274.32,229,-48.5
CA32_PLUS_4,306.02,228,-48.5
CA32_PLUS_4,335.28,227,-48.9
CA32_PLUS_4,365.76,228,-49
CA32_PLUS_4,396.24,228,-49
CA32_PLUS_4,426.72,228,-49
CA32_PLUS_5,0,235,-46
CA32_PLUS_5,30.48,240,-46
CA32_PLUS_5,60.96,242,-46
CA32_PLUS_5,91.44,246,-45.1
CA32_PLUS_5,121.92,244,-45
CA32_PLUS_5,152.4,248,-45
CA32_PLUS_5,182.88,246,-46
CA32_PLUS_5,213.36,247,-46
CA32_PLUS_5,243.84,248,-46
CA32_PLUS_5,274.32,251,-45.5
CA32_PLUS_5,304.8,252,-44
CA32_PLUS_5,335.28,253,-44
CA32_PLUS_5,365.76,253,-44
CA32_PLUS_5,390.14,250,-44
CA32_PLUS_6,0,236,-48
CA32_PLUS_6,30.48,238,-49
CA32_PLUS_6,60.96,241,-49
CA32_PLUS_6,91.44,239,-48
CA32_PLUS_6,121.92,243,-48
CA32_PLUS_6,152.4,243,-48
CA32_PLUS_6,182.88,240,-48
CA32_PLUS_6,213.36,240,-47
CA32_PLUS_6,243.84,242,-47
CA32_PLUS_6,274.32,239,-46.3
CA32_PLUS_6,304.8,240,-47
CA32_PLUS_6,335.28,240,-46
CA32_PLUS_6,365.76,239,-46
CA32_PLUS_6,396.24,239,-46
CA32_PLUS_6,426.72,239,-46.3
CA32_PLUS_8,0,254,-52
CA32_PLUS_8,36.58,255,-52
CA32_PLUS_8,67.06,256,-52
CA32_PLUS_8,97.54,255,-53
CA32_PLUS_8,128.02,255,-53
CA32_PLUS_8,158.5,256,-53
CA32_PLUS_8,192.02,255,-51.5
CA32_PLUS_8,329.18,255,-53.5
CA32_PLUS_8,359.66,256,-54
CA32_PLUS_8,390.14,253,-55
CA32_PLUS_8,420.62,253,-55.5
CA34_PLUS_2,0,225.5,-51.4
CA34_PLUS_2,30.48,228,-51.9
CA34_PLUS_2,60.96,228,-51.8
CA34_PLUS_2,91.44,229,-52
CA34_PLUS_2,121.92,229,-52
CA34_PLUS_2,152.4,230,-52
CA34_PLUS_2,182.88,230,-52
CA34_PLUS_2,213.36,230.5,-52
CA34_PLUS_2,243.84,230,-52
CA34_PLUS_2,278.59,229,-52
CA34_PLUS_3,0,237,-53
CA34_PLUS_3,13.41,241,-53
CA34_PLUS_3,43.89,240,-53
CA34_PLUS_3,74.37,240,-53
CA34_PLUS_3,104.85,240.5,-53
CA34_PLUS_3,135.33,240,-53
CA34_PLUS_3,165.81,240.5,-52.5
CA34_PLUS_3,196.29,239,-53
CA34_PLUS_3,226.77,239,-53
CA34_PLUS_3,257.25,239,-53
CA34_PLUS_3,287.73,240.5,-53
CA34_PLUS_4,0,259,-53
CA34_PLUS_4,30.48,257,-53
CA34_PLUS_4,60.96,260,-53.1
CA34_PLUS_4,91.44,266,-53.2
CA34_PLUS_4,121.92,264,-53
CA34_PLUS_4,149.35,269,-53
CA34_PLUS_4,158.19,262,-53
CA34_PLUS_4,188.67,262,-53
CA34_PLUS_4,219.15,263,-54.4
CA34_PLUS_4,249.63,264,-52.5
CA34_PLUS_4,260.3,262,-51.3
CA34_PLUS_4,290.78,263,-51.5
CA34_PLUS_4A,0,251,-52.3
CA34_PLUS_4A,30.48,250,-52
CA34_PLUS_4A,60.96,250,-53
CA34_PLUS_4A,91.44,250,-53
CA34_PLUS_4A,121.92,249,-53
CA34_PLUS_4A,152.4,248,-53.3
CA34_PLUS_4A,182.88,245,-54
CA34_PLUS_4A,213.36,247,-54
CA34_PLUS_4A,243.84,242,-54
CA34_PLUS_7,0,246.5,-46
CA34_PLUS_7,15.24,250,-47
CA34_PLUS_7,45.72,249,-46.5
CA34_PLUS_7,76.2,249,-47
CA34_PLUS_7,106.68,248,-47
CA34_PLUS_7,137.16,249,-47
CA34_PLUS_7,167.64,248,-47
CA34_PLUS_7,198.12,249,-47.5
CA34_PLUS_7,228.6,250,-47.5
CA34_PLUS_7,259.08,250,-48
CA34_PLUS_7,289.56,250.5,-48
CA34_PLUS_7,320.04,249,-48
CA34_PLUS_7,350.52,250,-48
CA35_5_PLUS_1,0,215,-40
CA35_5_PLUS_1,30.48,213,-40
CA35_5_PLUS_1,60.96,215,-40
CA35_5_PLUS_1,91.44,214,-41
CA35_5_PLUS_1,101.8,225,-40.5
CA35_5_PLUS_1,132.28,225,-41
CA35_5_PLUS_1,162.76,226,-41
CA35_5_PLUS_1,193.24,226,-41.2
CA35_5_PLUS_1,223.72,226,-41.3
CA35_5_PLUS_1,254.2,225,-42
CA35_5_PLUS_2,0,226,-43.5
CA35_5_PLUS_2,30.48,224,-44.1
CA35_5_PLUS_2,60.96,227,-44
CA35_5_PLUS_2,91.44,225,-44
CA35_5_PLUS_2,121.92,228,-43.5
CA35_5_PLUS_2,152.4,227,-43.5
CA35_5_PLUS_2,182.88,230,-44
CA35_5_PLUS_2,213.36,229,-44
CA35_5_PLUS_2,225.55,233,-43.5
CA35_5_PLUS_3,0,237,-44.5
CA35_5_PLUS_3,16.46,241,-45.2
CA35_5_PLUS_3,46.94,240.5,-45
CA35_5_PLUS_3,77.42,240.5,-45
CA35_5_PLUS_3,107.9,241,-45.2
CA35_5_PLUS_3,138.38,241,-45
CA35_5_PLUS_3,168.86,241.5,-45
CA35_5_PLUS_3,199.34,242,-45
CA35_5_PLUS_3,229.82,240,-46
CA35_5_PLUS_3,260.3,239,-46
CA35_5_PLUS_3,290.78,240,-45
CA35_5_PLUS_4,0,249.75,-45
CA35_5_PLUS_4,62.18,249,-45
CA35_5_PLUS_4,92.66,248.9,-45
CA35_5_PLUS_4,123.14,249,-45
CA35_5_PLUS_4,153.62,249.1,-44.5
CA35_5_PLUS_4,184.1,249,-45
CA35_5_PLUS_4,214.58,252,-45
CA35_5_PLUS_4,245.06,251,-45.5
CA35_5_PLUS_4,257.25,251,-45
CA36_5_PLUS_2,0,226,-36
CA36_5_PLUS_2,29.26,230,-37.2
CA36_5_PLUS_2,59.74,231,-37
CA36_5_PLUS_2,90.22,231,-37
CA36_5_PLUS_2,120.7,232,-37.2
CA36_5_PLUS_2,151.18,232,-37.2
CA36_5_PLUS_2,175.57,232,-37.2
CA36_5_PLUS_3,0,237,-37.5
CA36_5_PLUS_3,43.28,240,-38.5
CA36_5_PLUS_3,73.76,240,-38.5
CA36_5_PLUS_3,104.24,241,-39.5
CA36_5_PLUS_3,119.48,241,-39
CA36_5_PLUS_3,134.72,241,-39.5
CA36_5_PLUS_3,165.2,241,-39
CA36_5_PLUS_3,195.68,241,-38
CA36_5_PLUS_3,226.16,241,-38
CA36_5_PLUS_3,256.64,241,-37.5
CA36_5_PLUS_4,0,251,-37.2
CA36_5_PLUS_4,30.48,256,-38.2
CA36_5_PLUS_4,60.96,255,-37
CA36_5_PLUS_4,91.44,257,-37
CA36_5_PLUS_4,121.92,256,-36.5
CA36_5_PLUS_4,152.4,259,-36.1
CA36_5_PLUS_4,182.88,255,-36.1
CA36_5_PLUS_4,213.36,259,-37.2
CA36_5_PLUS_4,228.6,256,-36.1
CA36_PLUS_7,0,246.5,-36.5
CA36_PLUS_7,30.48,248,-36
CA36_PLUS_7,60.96,248,-37
CA36_PLUS_7,91.44,249,-37
CA36_PLUS_7,121.92,248,-37
CA36_PLUS_7,152.4,247,-37
CA36_PLUS_7,182.88,248,-36.5
CA36_PLUS_7,213.36,250,-37
CA36_PLUS_7,243.84,250,-37
CA36_PLUS_7,274.32,249,-37
CA36_PLUS_7,304.8,249,-36
CA36_PLUS_8,0,254,-35.5
CA36_PLUS_8,30.48,256,-35
CA36_PLUS_8,60.96,255,-35.5
CA36_PLUS_8,91.44,255,-35.5
CA36_PLUS_8,121.92,254,-35.5
CA36_PLUS_8,152.4,254,-35.5
CA36_PLUS_8,182.88,255,-36
CA36_PLUS_8,213.36,255,-36
CA36_PLUS_8,243.84,253,-36
CA36_PLUS_8,274.32,253,-36
CA36_PLUS_8,304.8,251,-36.5
CA36_PLUS_8,327.66,253,-36.5
CA37_5_PLUS_1,0,219,-33
CA37_5_PLUS_1,30.48,214,-32
CA37_5_PLUS_1,60.96,220,-32
CA37_5_PLUS_1,91.44,217,-32.5
CA37_5_PLUS_1,121.92,216,-32.8
CA37_5_PLUS_1,152.4,214,-33
CA37_5_PLUS_1,182.88,211,-33
CA37_5_PLUS_1,213.36,212,-33
CA37_5_PLUS_1,228.6,208,-33
CA37_5_PLUS_1A,0,215.54,-25.1
CA37_5_PLUS_1A,174.35,215.54,-25.1
CA37_5_PLUS_2,0,225.28,-27
CA37_5_PLUS_2,185.93,225,-27
CA37_5_PLUS_3,0,237,-28.5
CA37_5_PLUS_3,30.48,239,-29
CA37_5_PLUS_3,60.96,238,-29
CA37_5_PLUS_3,91.44,237,-29.5
CA37_5_PLUS_3,121.92,237,-30
CA37_5_PLUS_3,152.4,236,-30
CA37_5_PLUS_3,182.88,236,-30
CA38_PLUS_6,0,221,-48.5
CA38_PLUS_6,39.62,223,-48
CA38_PLUS_6,70.1,223,-49
CA38_PLUS_6,100.58,224,-48
CA38_PLUS_6,131.06,225,-49
CA38_PLUS_6,161.54,227,-48
CA38_PLUS_6,192.02,227,-48
CA38_PLUS_6,222.5,227,-47
CA38_PLUS_6,252.98,227,-48
CA38_PLUS_6,283.46,224,-46.5
CA38_PLUS_7,0,237,-50.5
CA38_PLUS_7,32.61,239,-51.5
CA38_PLUS_7,63.09,237,-51.5
CA38_PLUS_7,93.57,237,-51.5
CA38_PLUS_7,124.05,239.5,-52
CA38_PLUS_7,154.53,239.5,-52
CA38_PLUS_7,197.21,241,-52
CA40_PLUS_6,0,221,-29
CA40_PLUS_6,30.48,223,-30
CA40_PLUS_6,60.96,221,-30
CA40_PLUS_6,91.44,221,-32
CA40_PLUS_6,121.92,222,-31
CA40_PLUS_6,149.35,222,-34
CA40_PLUS_7,0,237,-30
CA40_PLUS_7,30.18,239,-30
CA40_PLUS_7,60.66,239,-30
CA40_PLUS_7,91.14,240,-30
CA40_PLUS_7,121.62,240,-29.5
CA40_PLUS_7,152.1,240,-30
CA40_PLUS_8,0,256.5,-33.2
CA40_PLUS_8,31.7,256,-34
CA40_PLUS_8,62.18,258,-34
CA40_PLUS_8,92.66,256,-34
CA40_PLUS_8,123.14,256,-34
CA40_PLUS_8,156.67,258,-34
CATECH,0,163,-88.3
CATECH,30.48,172,-87.5
CATECH,60.96,183,-88.3
CATECH,91.44,192,-88
CATECH,121.92,174,-88.1
CATECH,152.4,187,-88.2
CATECH,182.88,185,-88.2
CATECH,213.36,188,-88.2
CATECH,243.84,209,-88
CATECH,274.32,189,-88
CATECH,286.51,192,-87.5
CB-1,0,228,-58
CC-01,0,360,-90
CC-01,30.48,285.06,-89.25
CC-01,60.96,295.46,-89
CC-01,91.44,292.02,-89.25
CC-01,121.92,312.01,-88.75
CC-01,152.4,326.58,-88.75
CC-01,182.88,319.01,-88.5
CC-01,213.36,317.05,-88.99
CC-01,243.84,312.57,-88.75
CC-01,274.32,253.05,-89.25
CC-01,304.8,272.11,-89.25
CC-01,335.28,275.54,-88.99
CC-01,365.76,290.05,-88.99
CC-01,396.24,288.54,-88.25
CC-01,426.72,270.59,-87.99
CC-01,457.2,270,-88.25
CC-01,487.68,270,-88
CC-01,518.16,268.02,-87.99
CC-01,548.64,256.55,-87.99
CC-01,579.12,261.57,-87.75
CC-01,609.6,260.56,-87.99
CC-01,640.08,270,-88
CC-01,670.56,277.05,-88
CC-01,701.04,264.34,-88.24
CC-01,731.52,278.09,-87.98
CC-01,762,270,-88
CC-01,792.48,261.56,-87.99
CC-01,822.96,287.57,-88.25
CC-01,853.44,288.01,-86.99
CC-01,883.92,290.01,-85.99
CC-01,914.4,284,-85.99
CC-01,944.88,288.58,-85.5
CC-01,975.36,289.01,-85.25
CC-01,1005.84,289.59,-85
CC-01,1036.32,278.58,-84.99
CC-01,1066.8,282.59,-85
CC-01,1097.28,284.59,-84.5
CC-01,1127.76,283.01,-84.5
CC-01,1158.24,280,-84.75
